Bug ID,Summary,Description,Status,Severity,Priority,Resolution
BUG-0001,UI misalignment in header - Case 397,The header elements are overlapping on mobile screens.,Assigned,Critical,P4,None
BUG-0002,Performance degradation on load - Case 724,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",New,Minor,P1,None
BUG-0003,API returning 500 error - Case 359,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Assigned,Trivial,P1,None
BUG-0004,Typo in the settings menu - Case 546,There is a spelling mistake in the user profile settings page.,Resolved,Major,P4,Cannot Reproduce
BUG-0005,UI misalignment in header - Case 170,The header elements are overlapping on mobile screens.,Resolved,Critical,P1,Won't Fix
BUG-0006,Typo in the settings menu - Case 102,There is a spelling mistake in the user profile settings page.,Closed,Trivial,P2,Duplicate
BUG-0007,Button click has no effect - Case 591,Clicking the 'Save' button in the dialog does not trigger any network request.,New,Major,P5,None
BUG-0008,Feature Y is not responsive - Case 459,Feature Y does not resize properly when the window is scaled down.,Assigned,Critical,P1,None
BUG-0009,Database connection timeout - Case 275,The connection to the database times out after 30 seconds of inactivity.,New,Trivial,P5,None
BUG-0010,App crashes on login - Case 835,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Minor,P3,None
BUG-0011,Typo in the settings menu - Case 102,There is a spelling mistake in the user profile settings page.,Closed,Critical,P3,Duplicate
BUG-0012,UI misalignment in header - Case 474,The header elements are overlapping on mobile screens.,Resolved,Minor,P5,Duplicate
BUG-0013,Performance degradation on load - Case 849,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Assigned,Critical,P1,None
BUG-0014,Typo in the settings menu - Case 774,There is a spelling mistake in the user profile settings page.,In Progress,Major,P3,None
BUG-0015,Performance degradation on load - Case 423,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Minor,P2,Won't Fix
BUG-0016,App crashes on login - Case 127,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Resolved,Minor,P4,Won't Fix
BUG-0017,Performance degradation on load - Case 134,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",In Progress,Trivial,P4,None
BUG-0018,Null pointer exception in module X - Case 156,A NullPointerException is thrown when clicking the submit button in module X.,New,Major,P5,None
BUG-0019,App crashes on login - Case 777,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Resolved,Minor,P4,Won't Fix
BUG-0020,App crashes on login - Case 315,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Closed,Major,P5,Duplicate
BUG-0021,Null pointer exception in module X - Case 564,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Trivial,P2,Cannot Reproduce
BUG-0022,Performance degradation on load - Case 639,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Trivial,P3,Duplicate
BUG-0023,API returning 500 error - Case 290,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Assigned,Trivial,P3,None
BUG-0024,API returning 500 error - Case 359,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Minor,P4,Duplicate
BUG-0025,Null pointer exception in module X - Case 605,A NullPointerException is thrown when clicking the submit button in module X.,New,Minor,P3,None
BUG-0026,Button click has no effect - Case 296,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Critical,P5,Duplicate
BUG-0027,Typo in the settings menu - Case 764,There is a spelling mistake in the user profile settings page.,Closed,Minor,P1,Duplicate
BUG-0028,Memory leak during file upload - Case 421,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Resolved,Critical,P4,Duplicate
BUG-0029,App crashes on login - Case 304,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Critical,P2,None
BUG-0030,Feature Y is not responsive - Case 905,Feature Y does not resize properly when the window is scaled down.,Resolved,Major,P5,Duplicate
BUG-0031,Button click has no effect - Case 972,Clicking the 'Save' button in the dialog does not trigger any network request.,Assigned,Critical,P5,None
BUG-0032,Typo in the settings menu - Case 985,There is a spelling mistake in the user profile settings page.,Assigned,Trivial,P4,None
BUG-0033,UI misalignment in header - Case 245,The header elements are overlapping on mobile screens.,Resolved,Minor,P2,Won't Fix
BUG-0034,App crashes on login - Case 729,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Major,P4,None
BUG-0035,Performance degradation on load - Case 668,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",New,Minor,P3,None
BUG-0036,Performance degradation on load - Case 134,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Trivial,P5,Not a Bug
BUG-0037,Button click has no effect - Case 222,Clicking the 'Save' button in the dialog does not trigger any network request.,Assigned,Major,P2,None
BUG-0038,Feature Y is not responsive - Case 548,Feature Y does not resize properly when the window is scaled down.,In Progress,Critical,P3,None
BUG-0039,Button click has no effect - Case 566,Clicking the 'Save' button in the dialog does not trigger any network request.,Resolved,Critical,P1,Cannot Reproduce
BUG-0040,Memory leak during file upload - Case 576,Uploading a file larger than 10MB causes a steady increase in RAM usage.,New,Critical,P2,None
BUG-0041,UI misalignment in header - Case 144,The header elements are overlapping on mobile screens.,Closed,Major,P2,Duplicate
BUG-0042,Database connection timeout - Case 791,The connection to the database times out after 30 seconds of inactivity.,Closed,Trivial,P5,Cannot Reproduce
BUG-0043,Feature Y is not responsive - Case 552,Feature Y does not resize properly when the window is scaled down.,New,Trivial,P1,None
BUG-0044,API returning 500 error - Case 367,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,New,Minor,P5,None
BUG-0045,Button click has no effect - Case 392,Clicking the 'Save' button in the dialog does not trigger any network request.,New,Minor,P5,None
BUG-0046,UI misalignment in header - Case 578,The header elements are overlapping on mobile screens.,New,Trivial,P1,None
BUG-0047,Database connection timeout - Case 791,The connection to the database times out after 30 seconds of inactivity.,Closed,Major,P2,Duplicate
BUG-0048,Null pointer exception in module X - Case 507,A NullPointerException is thrown when clicking the submit button in module X.,New,Major,P2,None
BUG-0049,Database connection timeout - Case 713,The connection to the database times out after 30 seconds of inactivity.,Closed,Minor,P4,Won't Fix
BUG-0050,App crashes on login - Case 367,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Trivial,P3,None
BUG-0051,Typo in the settings menu - Case 228,There is a spelling mistake in the user profile settings page.,New,Trivial,P1,None
BUG-0052,Typo in the settings menu - Case 923,There is a spelling mistake in the user profile settings page.,Closed,Minor,P1,Cannot Reproduce
BUG-0053,Performance degradation on load - Case 640,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Major,P3,Not a Bug
BUG-0054,Database connection timeout - Case 726,The connection to the database times out after 30 seconds of inactivity.,Closed,Major,P5,Cannot Reproduce
BUG-0055,UI misalignment in header - Case 527,The header elements are overlapping on mobile screens.,Closed,Critical,P4,Not a Bug
BUG-0056,API returning 500 error - Case 690,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,In Progress,Minor,P3,None
BUG-0057,Performance degradation on load - Case 105,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Minor,P4,Won't Fix
BUG-0058,Button click has no effect - Case 296,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Trivial,P1,Duplicate
BUG-0059,Null pointer exception in module X - Case 431,A NullPointerException is thrown when clicking the submit button in module X.,In Progress,Trivial,P4,None
BUG-0060,Database connection timeout - Case 275,The connection to the database times out after 30 seconds of inactivity.,Closed,Major,P2,Duplicate
BUG-0061,App crashes on login - Case 959,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Trivial,P2,None
BUG-0062,Typo in the settings menu - Case 143,There is a spelling mistake in the user profile settings page.,Resolved,Minor,P3,Not a Bug
BUG-0063,Typo in the settings menu - Case 796,There is a spelling mistake in the user profile settings page.,Closed,Major,P3,Not a Bug
BUG-0064,Feature Y is not responsive - Case 321,Feature Y does not resize properly when the window is scaled down.,Closed,Minor,P3,Fixed
BUG-0065,API returning 500 error - Case 236,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,New,Major,P1,None
BUG-0066,API returning 500 error - Case 150,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Resolved,Critical,P3,Won't Fix
BUG-0067,Feature Y is not responsive - Case 922,Feature Y does not resize properly when the window is scaled down.,Closed,Critical,P4,Not a Bug
BUG-0068,UI misalignment in header - Case 397,The header elements are overlapping on mobile screens.,Closed,Major,P1,Duplicate
BUG-0069,Database connection timeout - Case 787,The connection to the database times out after 30 seconds of inactivity.,Assigned,Trivial,P5,None
BUG-0070,Typo in the settings menu - Case 627,There is a spelling mistake in the user profile settings page.,Closed,Critical,P4,Fixed
BUG-0071,API returning 500 error - Case 694,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Resolved,Critical,P2,Not a Bug
BUG-0072,API returning 500 error - Case 690,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Major,P4,Duplicate
BUG-0073,Typo in the settings menu - Case 178,There is a spelling mistake in the user profile settings page.,New,Major,P4,None
BUG-0074,Performance degradation on load - Case 668,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Major,P5,Duplicate
BUG-0075,Null pointer exception in module X - Case 262,A NullPointerException is thrown when clicking the submit button in module X.,Resolved,Major,P3,Won't Fix
BUG-0076,API returning 500 error - Case 862,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,In Progress,Trivial,P2,None
BUG-0077,Typo in the settings menu - Case 857,There is a spelling mistake in the user profile settings page.,New,Minor,P2,None
BUG-0078,Performance degradation on load - Case 576,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Assigned,Major,P3,None
BUG-0079,API returning 500 error - Case 150,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Critical,P4,Duplicate
BUG-0080,Null pointer exception in module X - Case 547,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Critical,P1,Not a Bug
BUG-0081,App crashes on login - Case 920,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Critical,P1,None
BUG-0082,Null pointer exception in module X - Case 286,A NullPointerException is thrown when clicking the submit button in module X.,In Progress,Critical,P1,None
BUG-0083,Database connection timeout - Case 871,The connection to the database times out after 30 seconds of inactivity.,Resolved,Minor,P1,Duplicate
BUG-0084,Memory leak during file upload - Case 942,Uploading a file larger than 10MB causes a steady increase in RAM usage.,In Progress,Trivial,P1,None
BUG-0085,Null pointer exception in module X - Case 689,A NullPointerException is thrown when clicking the submit button in module X.,Resolved,Minor,P4,Won't Fix
BUG-0086,API returning 500 error - Case 705,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Assigned,Trivial,P3,None
BUG-0087,Database connection timeout - Case 788,The connection to the database times out after 30 seconds of inactivity.,Assigned,Trivial,P3,None
BUG-0088,Performance degradation on load - Case 796,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Assigned,Critical,P1,None
BUG-0089,Database connection timeout - Case 302,The connection to the database times out after 30 seconds of inactivity.,Closed,Trivial,P5,Not a Bug
BUG-0090,Database connection timeout - Case 931,The connection to the database times out after 30 seconds of inactivity.,New,Major,P5,None
BUG-0091,Performance degradation on load - Case 363,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Trivial,P3,Cannot Reproduce
BUG-0092,Button click has no effect - Case 931,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Critical,P2,Won't Fix
BUG-0093,Button click has no effect - Case 322,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Minor,P1,Fixed
BUG-0094,Typo in the settings menu - Case 701,There is a spelling mistake in the user profile settings page.,In Progress,Critical,P1,None
BUG-0095,Typo in the settings menu - Case 627,There is a spelling mistake in the user profile settings page.,New,Major,P5,None
BUG-0096,Button click has no effect - Case 681,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Critical,P2,Not a Bug
BUG-0097,App crashes on login - Case 304,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Closed,Minor,P5,Duplicate
BUG-0098,Feature Y is not responsive - Case 214,Feature Y does not resize properly when the window is scaled down.,Resolved,Trivial,P1,Duplicate
BUG-0099,Typo in the settings menu - Case 677,There is a spelling mistake in the user profile settings page.,Resolved,Trivial,P5,Won't Fix
BUG-0100,Feature Y is not responsive - Case 238,Feature Y does not resize properly when the window is scaled down.,Resolved,Minor,P4,Duplicate
BUG-0101,UI misalignment in header - Case 578,The header elements are overlapping on mobile screens.,Closed,Major,P5,Duplicate
BUG-0102,Feature Y is not responsive - Case 142,Feature Y does not resize properly when the window is scaled down.,Closed,Critical,P2,Won't Fix
BUG-0103,API returning 500 error - Case 181,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,New,Trivial,P2,None
BUG-0104,Performance degradation on load - Case 572,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Minor,P2,Duplicate
BUG-0105,Feature Y is not responsive - Case 889,Feature Y does not resize properly when the window is scaled down.,Closed,Trivial,P5,Duplicate
BUG-0106,Typo in the settings menu - Case 491,There is a spelling mistake in the user profile settings page.,Assigned,Critical,P2,None
BUG-0107,Typo in the settings menu - Case 364,There is a spelling mistake in the user profile settings page.,New,Minor,P4,None
BUG-0108,Performance degradation on load - Case 521,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Assigned,Trivial,P2,None
BUG-0109,Button click has no effect - Case 113,Clicking the 'Save' button in the dialog does not trigger any network request.,New,Minor,P4,None
BUG-0110,UI misalignment in header - Case 262,The header elements are overlapping on mobile screens.,Resolved,Major,P3,Won't Fix
BUG-0111,Typo in the settings menu - Case 562,There is a spelling mistake in the user profile settings page.,Resolved,Minor,P4,Cannot Reproduce
BUG-0112,Database connection timeout - Case 254,The connection to the database times out after 30 seconds of inactivity.,Closed,Minor,P3,Cannot Reproduce
BUG-0113,Performance degradation on load - Case 897,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Major,P5,Fixed
BUG-0114,Feature Y is not responsive - Case 128,Feature Y does not resize properly when the window is scaled down.,Closed,Minor,P4,Duplicate
BUG-0115,API returning 500 error - Case 785,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Critical,P2,Duplicate
BUG-0116,Memory leak during file upload - Case 539,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Assigned,Minor,P5,None
BUG-0117,Typo in the settings menu - Case 562,There is a spelling mistake in the user profile settings page.,Closed,Trivial,P2,Duplicate
BUG-0118,Typo in the settings menu - Case 719,There is a spelling mistake in the user profile settings page.,Resolved,Minor,P5,Duplicate
BUG-0119,Button click has no effect - Case 296,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Major,P5,Duplicate
BUG-0120,Null pointer exception in module X - Case 295,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Minor,P2,Duplicate
BUG-0121,Database connection timeout - Case 387,The connection to the database times out after 30 seconds of inactivity.,New,Critical,P3,None
BUG-0122,App crashes on login - Case 970,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Critical,P3,None
BUG-0123,Memory leak during file upload - Case 661,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Resolved,Minor,P1,Duplicate
BUG-0124,Database connection timeout - Case 297,The connection to the database times out after 30 seconds of inactivity.,In Progress,Trivial,P3,None
BUG-0125,Performance degradation on load - Case 796,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Trivial,P5,Duplicate
BUG-0126,Typo in the settings menu - Case 345,There is a spelling mistake in the user profile settings page.,Closed,Major,P4,Fixed
BUG-0127,Feature Y is not responsive - Case 992,Feature Y does not resize properly when the window is scaled down.,Assigned,Major,P3,None
BUG-0128,Typo in the settings menu - Case 466,There is a spelling mistake in the user profile settings page.,Resolved,Major,P4,Duplicate
BUG-0129,Feature Y is not responsive - Case 856,Feature Y does not resize properly when the window is scaled down.,In Progress,Trivial,P3,None
BUG-0130,API returning 500 error - Case 275,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,In Progress,Critical,P4,None
BUG-0131,API returning 500 error - Case 711,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Assigned,Trivial,P4,None
BUG-0132,Feature Y is not responsive - Case 531,Feature Y does not resize properly when the window is scaled down.,Resolved,Trivial,P4,Won't Fix
BUG-0133,UI misalignment in header - Case 886,The header elements are overlapping on mobile screens.,Resolved,Minor,P3,Won't Fix
BUG-0134,UI misalignment in header - Case 841,The header elements are overlapping on mobile screens.,Resolved,Trivial,P2,Cannot Reproduce
BUG-0135,Database connection timeout - Case 302,The connection to the database times out after 30 seconds of inactivity.,Closed,Trivial,P2,Duplicate
BUG-0136,Database connection timeout - Case 589,The connection to the database times out after 30 seconds of inactivity.,Resolved,Minor,P2,Duplicate
BUG-0137,Null pointer exception in module X - Case 332,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Critical,P2,Fixed
BUG-0138,Database connection timeout - Case 539,The connection to the database times out after 30 seconds of inactivity.,New,Critical,P5,None
BUG-0139,Feature Y is not responsive - Case 118,Feature Y does not resize properly when the window is scaled down.,Closed,Trivial,P4,Duplicate
BUG-0140,Button click has no effect - Case 318,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Critical,P4,Duplicate
BUG-0141,Null pointer exception in module X - Case 581,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Critical,P4,Duplicate
BUG-0142,Feature Y is not responsive - Case 158,Feature Y does not resize properly when the window is scaled down.,Closed,Critical,P3,Duplicate
BUG-0143,Feature Y is not responsive - Case 834,Feature Y does not resize properly when the window is scaled down.,Resolved,Trivial,P1,Not a Bug
BUG-0144,Performance degradation on load - Case 411,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Assigned,Major,P1,None
BUG-0145,Typo in the settings menu - Case 332,There is a spelling mistake in the user profile settings page.,Assigned,Trivial,P5,None
BUG-0146,UI misalignment in header - Case 832,The header elements are overlapping on mobile screens.,Assigned,Major,P3,None
BUG-0147,Null pointer exception in module X - Case 143,A NullPointerException is thrown when clicking the submit button in module X.,New,Minor,P4,None
BUG-0148,Typo in the settings menu - Case 677,There is a spelling mistake in the user profile settings page.,Closed,Major,P1,Duplicate
