Bug ID,Summary,Description,Status,Severity,Priority,Resolution,Assigned_To,Module,Reported_Date,Status_encoded,Severity_encoded,Priority_encoded,Resolution_encoded
BUG-0001,App crashes on login - Case 859,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Minor,P5,,Bob Smith,UI/UX,2024-04-24,0,2,4,5
BUG-0002,UI misalignment in header - Case 323,The header elements are overlapping on mobile screens.,Resolved,Minor,P1,Duplicate,Grace Kim,Reporting,2024-10-14,4,2,0,1
BUG-0003,Feature Y is not responsive - Case 928,Feature Y does not resize properly when the window is scaled down.,Assigned,Critical,P3,,Eva Martinez,Dashboard,2024-12-23,0,0,2,5
BUG-0004,Typo in the settings menu - Case 204,There is a spelling mistake in the user profile settings page.,Resolved,Major,P3,Fixed,Eva Martinez,Authentication,2024-02-19,4,1,2,2
BUG-0005,Button click has no effect - Case 227,Clicking the 'Save' button in the dialog does not trigger any network request.,New,Major,P1,,Frank Brown,Reporting,2024-10-09,3,1,0,5
BUG-0006,App crashes on login - Case 777,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Resolved,Trivial,P2,Duplicate,Eva Martinez,Notifications,2024-04-29,4,3,1,1
BUG-0007,Typo in the settings menu - Case 266,There is a spelling mistake in the user profile settings page.,In Progress,Major,P5,,Carol White,Reporting,2024-04-17,2,1,4,5
BUG-0008,Memory leak during file upload - Case 376,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Assigned,Major,P5,,David Lee,Authentication,2024-12-16,0,1,4,5
BUG-0009,Memory leak during file upload - Case 374,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Assigned,Major,P4,,Henry Wilson,UI/UX,2024-10-17,0,1,3,5
BUG-0010,API returning 500 error - Case 246,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Assigned,Major,P1,,Grace Kim,UI/UX,2024-05-06,0,1,0,5
BUG-0011,Database connection timeout - Case 621,The connection to the database times out after 30 seconds of inactivity.,New,Trivial,P4,,Carol White,UI/UX,2024-01-25,3,3,3,5
BUG-0012,Memory leak during file upload - Case 490,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Resolved,Major,P1,Not a Bug,Alice Johnson,Payment,2024-09-27,4,1,0,3
BUG-0013,Button click has no effect - Case 868,Clicking the 'Save' button in the dialog does not trigger any network request.,In Progress,Major,P2,,Carol White,Notifications,2024-02-27,2,1,1,5
BUG-0014,Memory leak during file upload - Case 490,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Closed,Minor,P1,Duplicate,Bob Smith,API,2024-05-14,1,2,0,1
BUG-0015,Button click has no effect - Case 723,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Trivial,P1,Duplicate,Frank Brown,Notifications,2024-03-23,1,3,0,1
BUG-0016,Button click has no effect - Case 723,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Major,P4,Duplicate,Alice Johnson,Reporting,2024-07-04,1,1,3,1
BUG-0017,UI misalignment in header - Case 187,The header elements are overlapping on mobile screens.,New,Minor,P4,,Henry Wilson,Dashboard,2024-09-29,3,2,3,5
BUG-0018,Performance degradation on load - Case 533,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Major,P2,Duplicate,Frank Brown,Notifications,2024-12-31,4,1,1,1
BUG-0019,API returning 500 error - Case 223,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Resolved,Trivial,P1,Duplicate,David Lee,Reporting,2024-06-22,4,3,0,1
BUG-0020,UI misalignment in header - Case 323,The header elements are overlapping on mobile screens.,Closed,Trivial,P5,Duplicate,Frank Brown,Payment,2024-04-27,1,3,4,1
BUG-0021,Feature Y is not responsive - Case 785,Feature Y does not resize properly when the window is scaled down.,Assigned,Minor,P1,,Henry Wilson,Reporting,2024-10-03,0,2,0,5
BUG-0022,Memory leak during file upload - Case 294,Uploading a file larger than 10MB causes a steady increase in RAM usage.,New,Critical,P3,,Grace Kim,UI/UX,2024-12-03,3,0,2,5
BUG-0023,App crashes on login - Case 789,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Major,P5,,David Lee,Reporting,2024-07-25,3,1,4,5
BUG-0024,API returning 500 error - Case 243,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Assigned,Critical,P4,,Bob Smith,Notifications,2024-05-22,0,0,3,5
BUG-0025,Button click has no effect - Case 200,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Trivial,P4,Fixed,Carol White,UI/UX,2024-01-08,1,3,3,2
BUG-0026,Null pointer exception in module X - Case 985,A NullPointerException is thrown when clicking the submit button in module X.,New,Critical,P5,,Grace Kim,API,2024-03-25,3,0,4,5
BUG-0027,API returning 500 error - Case 392,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Critical,P4,Cannot Reproduce,David Lee,API,2024-12-04,1,0,3,0
BUG-0028,App crashes on login - Case 693,"When attempting to log in with valid credentials, the application throws an exception and crashes.",New,Trivial,P5,,Henry Wilson,Dashboard,2024-06-09,3,3,4,5
BUG-0029,UI misalignment in header - Case 187,The header elements are overlapping on mobile screens.,Closed,Minor,P5,Duplicate,Bob Smith,Reporting,2024-02-11,1,2,4,1
BUG-0030,Performance degradation on load - Case 352,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Closed,Trivial,P2,Not a Bug,Frank Brown,API,2024-01-21,1,3,1,3
BUG-0031,Typo in the settings menu - Case 344,There is a spelling mistake in the user profile settings page.,Resolved,Major,P2,Won't Fix,Frank Brown,Payment,2024-03-08,4,1,1,4
BUG-0032,UI misalignment in header - Case 323,The header elements are overlapping on mobile screens.,Closed,Trivial,P5,Duplicate,David Lee,API,2024-10-15,1,3,4,1
BUG-0033,Typo in the settings menu - Case 170,There is a spelling mistake in the user profile settings page.,Closed,Critical,P1,Duplicate,Eva Martinez,Authentication,2024-03-21,1,0,0,1
BUG-0034,Button click has no effect - Case 406,Clicking the 'Save' button in the dialog does not trigger any network request.,Assigned,Trivial,P5,,Carol White,API,2024-05-15,0,3,4,5
BUG-0035,Null pointer exception in module X - Case 834,A NullPointerException is thrown when clicking the submit button in module X.,Assigned,Major,P1,,Henry Wilson,API,2024-12-17,0,1,0,5
BUG-0036,App crashes on login - Case 194,"When attempting to log in with valid credentials, the application throws an exception and crashes.",In Progress,Trivial,P3,,Carol White,API,2024-01-23,2,3,2,5
BUG-0037,API returning 500 error - Case 664,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Trivial,P5,Cannot Reproduce,Carol White,Authentication,2024-01-05,1,3,4,0
BUG-0038,Performance degradation on load - Case 665,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Major,P3,Duplicate,Alice Johnson,Database,2024-01-22,4,1,2,1
BUG-0039,Null pointer exception in module X - Case 782,A NullPointerException is thrown when clicking the submit button in module X.,In Progress,Critical,P1,,Carol White,Reporting,2024-10-13,2,0,0,5
BUG-0040,Database connection timeout - Case 522,The connection to the database times out after 30 seconds of inactivity.,Assigned,Critical,P4,,Eva Martinez,Dashboard,2024-06-19,0,0,3,5
BUG-0041,UI misalignment in header - Case 491,The header elements are overlapping on mobile screens.,Resolved,Minor,P2,Fixed,Frank Brown,API,2024-04-23,4,2,1,2
BUG-0042,Null pointer exception in module X - Case 328,A NullPointerException is thrown when clicking the submit button in module X.,Assigned,Major,P3,,Bob Smith,API,2024-07-23,0,1,2,5
BUG-0043,Button click has no effect - Case 509,Clicking the 'Save' button in the dialog does not trigger any network request.,In Progress,Trivial,P3,,Carol White,API,2024-01-15,2,3,2,5
BUG-0044,Null pointer exception in module X - Case 782,A NullPointerException is thrown when clicking the submit button in module X.,Closed,Major,P3,Duplicate,Grace Kim,Payment,2024-08-10,1,1,2,1
BUG-0045,Performance degradation on load - Case 294,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",New,Critical,P5,,David Lee,Database,2024-12-28,3,0,4,5
BUG-0046,Typo in the settings menu - Case 738,There is a spelling mistake in the user profile settings page.,New,Major,P2,,Frank Brown,UI/UX,2024-06-02,3,1,1,5
BUG-0047,Button click has no effect - Case 230,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Minor,P1,Duplicate,Eva Martinez,UI/UX,2024-12-12,1,2,0,1
BUG-0048,App crashes on login - Case 411,"When attempting to log in with valid credentials, the application throws an exception and crashes.",Assigned,Major,P2,,Henry Wilson,Notifications,2024-08-08,0,1,1,5
BUG-0049,Button click has no effect - Case 584,Clicking the 'Save' button in the dialog does not trigger any network request.,Closed,Major,P5,Duplicate,David Lee,API,2024-09-20,1,1,4,1
BUG-0050,Null pointer exception in module X - Case 250,A NullPointerException is thrown when clicking the submit button in module X.,New,Critical,P1,,Bob Smith,Notifications,2024-05-05,3,0,0,5
BUG-0051,Performance degradation on load - Case 299,"Loading the main dashboard takes over 10 seconds, which is a severe degradation.",Resolved,Minor,P4,Cannot Reproduce,Alice Johnson,Payment,2024-07-23,4,2,3,0
BUG-0052,Null pointer exception in module X - Case 280,A NullPointerException is thrown when clicking the submit button in module X.,Resolved,Minor,P5,Not a Bug,Henry Wilson,Dashboard,2024-01-26,4,2,4,3
BUG-0053,Button click has no effect - Case 672,Clicking the 'Save' button in the dialog does not trigger any network request.,In Progress,Critical,P1,,Henry Wilson,Dashboard,2024-08-14,2,0,0,5
BUG-0054,API returning 500 error - Case 560,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Assigned,Major,P1,,Henry Wilson,Reporting,2024-11-22,0,1,0,5
BUG-0055,UI misalignment in header - Case 830,The header elements are overlapping on mobile screens.,Assigned,Major,P3,,Bob Smith,Dashboard,2024-05-19,0,1,2,5
BUG-0056,Memory leak during file upload - Case 810,Uploading a file larger than 10MB causes a steady increase in RAM usage.,Resolved,Critical,P3,Duplicate,Henry Wilson,UI/UX,2024-07-31,4,0,2,1
BUG-0057,API returning 500 error - Case 560,The /api/v1/data endpoint returns a 500 Internal Server Error intermittently.,Closed,Critical,P1,Duplicate,Alice Johnson,UI/UX,2024-08-03,1,0,0,1
